Date,Open,High,Low,Close_,AdjClose__,Volume
"Apr 30, 1986","1,656.30","1,664.40","1,652.20","1,660.50","1,660.50",
"Apr 29, 1986","1,635.00","1,656.30","1,635.00","1,656.30","1,656.30",
"Apr 28, 1986","1,622.60","1,629.50","1,619.70","1,628.80","1,628.80",
"Apr 25, 1986","1,615.50","1,631.70","1,611.80","1,622.60","1,622.60",
"Apr 24, 1986","1,632.70","1,635.10","1,603.70","1,615.50","1,615.50",
"Apr 23, 1986","1,649.70","1,649.70","1,632.70","1,632.70","1,632.70",
"Apr 22, 1986","1,668.00","1,674.10","1,659.60","1,665.20","1,665.20",
"Apr 21, 1986","1,680.20","1,681.10","1,667.60","1,668.00","1,668.00",
"Apr 18, 1986","1,680.90","1,681.00","1,674.60","1,680.20","1,680.20",
"Apr 17, 1986","1,675.10","1,683.50","1,675.10","1,680.90","1,680.90",
"Apr 16, 1986","1,654.80","1,670.10","1,648.00","1,662.00","1,662.00",
"Apr 15, 1986","1,663.40","1,663.40","1,651.70","1,654.80","1,654.80",
"Apr 14, 1986","1,690.60","1,690.60","1,683.00","1,683.10","1,683.10",
"Apr 11, 1986","1,690.30","1,699.50","1,685.50","1,694.10","1,694.10",
"Apr 10, 1986","1,668.00","1,690.90","1,668.00","1,690.30","1,690.30",
"Apr 09, 1986","1,675.70","1,683.50","1,657.10","1,659.00","1,659.00",
"Apr 08, 1986","1,688.50","1,701.80","1,671.50","1,675.70","1,675.70",
"Apr 07, 1986","1,703.50","1,703.50","1,685.00","1,688.50","1,688.50",
"Apr 04, 1986","1,713.20","1,713.20","1,701.40","1,709.70","1,709.70",
"Apr 03, 1986","1,713.50","1,721.70","1,713.50","1,717.60","1,717.60",
"Apr 02, 1986","1,684.00","1,704.70","1,674.10","1,702.90","1,702.90",
"Apr 01, 1986","1,671.10","1,684.20","1,671.10","1,684.00","1,684.00",
"Mar 31, 1986","1,668.80","1,668.80","1,668.80","1,668.80","1,668.80",
"Mar 28, 1986","1,668.80","1,668.80","1,668.80","1,668.80","1,668.80",
"Mar 27, 1986","1,659.00","1,669.00","1,659.00","1,668.80","1,668.80",
"Mar 26, 1986","1,647.60","1,655.20","1,647.60","1,653.90","1,653.90",
"Mar 25, 1986","1,654.60","1,654.60","1,632.40","1,633.80","1,633.80",
"Mar 24, 1986","1,680.90","1,680.90","1,662.20","1,663.90","1,663.90",
"Mar 21, 1986","1,690.10","1,690.10","1,683.10","1,688.30","1,688.30",
"Mar 20, 1986","1,670.30","1,690.10","1,670.30","1,690.10","1,690.10",
"Mar 19, 1986","1,653.90","1,661.40","1,653.90","1,659.80","1,659.80",
"Mar 18, 1986","1,622.60","1,644.40","1,616.20","1,644.40","1,644.40",
"Mar 17, 1986","1,624.40","1,635.20","1,622.60","1,622.60","1,622.60",
"Mar 14, 1986","1,617.60","1,624.50","1,617.60","1,624.40","1,624.40",
"Mar 13, 1986","1,621.60","1,621.60","1,610.90","1,616.70","1,616.70",
"Mar 12, 1986","1,616.50","1,630.70","1,616.50","1,624.50","1,624.50",
"Mar 11, 1986","1,577.00","1,597.20","1,577.00","1,597.10","1,597.10",
"Mar 10, 1986","1,573.80","1,577.00","1,568.10","1,572.20","1,572.20",
"Mar 07, 1986","1,566.10","1,574.00","1,564.00","1,573.80","1,573.80",
"Mar 06, 1986","1,569.10","1,575.60","1,566.00","1,566.10","1,566.10",
"Mar 05, 1986","1,559.20","1,571.30","1,559.20","1,569.10","1,569.10",
"Mar 04, 1986","1,534.90","1,548.90","1,529.80","1,548.90","1,548.90",
"Mar 03, 1986","1,543.90","1,545.20","1,534.40","1,534.90","1,534.90",
"Feb 28, 1986","1,549.50","1,553.50","1,537.80","1,543.90","1,543.90",
"Feb 27, 1986","1,545.30","1,555.20","1,545.30","1,549.50","1,549.50",
"Feb 26, 1986","1,527.70","1,534.60","1,518.80","1,534.60","1,534.60",
"Feb 25, 1986","1,533.00","1,540.20","1,526.80","1,527.70","1,527.70",
